,cast,title,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
22,,A Genius Leaves the Hood: The Unauthorized Story of Jay Z ,TV-14,1st December 2015            ,Follow Jay-Z outside the recording studio to discover how shrewd business sense and insistence on doing things his own way has made him a true mogul.,Barion L. Grant,57m,,"Biographical Documentaries, Documentaries",6.6/10,http://www.imdb.com/title/tt3620516/,https://art-s.nflximg.net/62e33/224ea89afa43e9a02f224a2b3bbd9d22ea362e33.jpg,3.2/5,2014
23,,A Gesar Bard's Tale ,NR,7th July 2015            ,Young nomad Dawa's life was transformed at age 13 when a series of visions led to his remarkable gift for telling the epic tale of Tibet's King Gesar.,"Donagh Coleman, Lharigtso",1hr 21m,,"Social & Cultural Documentaries, Scandinavian Films, International Documentaries, International Movies, Documentaries, Biographical Documentaries",,,https://art-s.nflximg.net/887b2/67c954861c8b55151196c98f77d492d041e887b2.jpg,1.8/5,2014
24,"John Schneider, Kyla Kenedy, Candi Brooks, Aiden Flowers, Katie Kelly",A Gift Horse ,TV-PG,1st August 2015            ,"A young girl mourning her mother's death determines to turn an abandoned horse into a champion, with the help of an inspiring horse trainer.",Teddy Smith,1hr 22m,,"Animal Tales, Family Features, Films for ages 11 to 12, Films for ages 8 to 10, Dramas, Children & Family Films, Family Dramas",5.3/10,http://www.imdb.com/title/tt3954294/,https://art-s.nflximg.net/09797/3f6c9fe5dfc0355e564a7d52dbd86e8083909797.jpg,3.8/5,2015
25,"Patrick Wilson, Jennifer Ehle, Shirley Roeca, Susie Abromeit, Liam Aiken, Julie Benz, Sakina Jaffrey, Rachelle Lefevre, Margo Martindale, James McCaffrey",A Gifted Man ,TV-14,Unknown Date            ,This metaphysical drama begins with a surgeon having a chance encounter with his ex-wife ... and then learning she died two weeks earlier.,,1 Season,43min                ,"TV Sci-Fi & Fantasy, TV Programmes, Medical TV Dramas, TV Dramas",7/10,http://www.imdb.com/title/tt1820742/,https://art-s.nflximg.net/c4a8b/bc8034eddad42f2ecf8df36ff8fefb7f264c4a8b.jpg,4/5,2012
26,"Jimmy Bennett, Lexi Ainsworth, Hunter King",A Girl Like Her ,PG-13,18th May 2016            ,"A hidden camera and a documentary being filmed on campus help a bullied, suicidal high schooler turn the tables on her queen-b tormentor.",Amy S. Weber,1hr 31m,,"Dramas, Teen Dramas",6.6/10,http://www.imdb.com/title/tt2523832/,https://art-s.nflximg.net/0cf7f/04f8b0d700eba1a37bae48852f72bc614890cf7f.jpg,4.5/5,2015
27,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Marnò, Dominic Rains, Rome Shadanloo, Milad Eghbali, Reza Sixo Safai",A Girl Walks Home Alone at Night ,NR,21st April 2015            ,"Bad things are commonplace in Bad City, including prostitution, drugs and crime, and most recently a sequence of attacks by a vampire on the loose.",Ana Lily Amirpour,1hr 40m,,"Horror Films, Vampire Horror Films",7/10,http://www.imdb.com/title/tt2326554/,https://art-s.nflximg.net/c51ab/2cf9ad0b1db8d241669f6b7bace2c89c458c51ab.jpg,3.6/5,2014
28,"Steven Seagal, Tzi Ma, Victor Webster, Claudiu Bleont, Iulia Verdes, Bogdan Farkas",A Good Man ,R,1st April 2016            ,"After his military career ends in disaster, a Special Ops agent works as an anonymous handyman until one of his tenants is threatened by gangsters.",Keoni Waxman,1hr 43m,,"Action & Adventure, Crime Action & Adventure, Action Thrillers",4.7/10,http://www.imdb.com/title/tt3480556/,https://art-s.nflximg.net/99994/c0853f3f9deb6c58a875664efa1a7d553a499994.jpg,3.4/5,2014
29,"Yuanyuan Gao, Woo-sung Jung",A Good Rain Knows ,TV-14,15th July 2016            ,An architect traveling on business and his college crush are thrown together by chance and discover their friendship may be more than platonic.,Jin-ho Hur,1hr 41m,,"Romantic Dramas, Dramas, International Dramas",6.7/10,http://www.imdb.com/title/tt1477859/,https://art-s.nflximg.net/f25c7/b2dad2aef7857d9f818bcfea69a7738a234f25c7.jpg,3/5,2009
30,"Man-shik Jeong, Seon-gyun Lee, Cho Jin-woong, Dong-yeong Kim, Jeong-geun Sin, Shin Dong-mi",A Hard Day ,NR,24th November 2015            ,"In a moment of panic, a homicide detective covers up a fatal hit-and-run accident he committed, then discovers that another detective was a witness.",Kim Sung-hoon,1hr 51m,,"Thrillers, Crime Thrillers, International Thrillers",7.2/10,http://www.imdb.com/title/tt3697626/,https://art-s.nflximg.net/ef2e9/71ca77de034b9d2e25f3e8aef3638d8ec1eef2e9.jpg,3.7/5,2014
31,"Alix Elizabeth Gitter, Erick Avari, James C. Burns, Steve Bacic, Jade Ramsey, Nikita Ramsey, Tadhg Kelly, James Ralph, Tara Westwood, James Cavlo",A Haunting at Silver Falls ,NR,24th January 2015            ,"In this creepy thriller, an orphaned teen arrives in a Pacific Northwest town to stay with relatives, only to find herself haunted by murdered twins.",Brett Donowho,1hr 36m,,"Horror Films, Teen Screams, Supernatural Horror Films, Supernatural Thrillers, Thrillers",4.8/10,http://www.imdb.com/title/tt1813609/,https://art-s.nflximg.net/557a7/ac19399f8aa3a9baabeba129476fd10b3f6557a7.jpg,3.3/5,2013
32,"Søren Malling, Pilou Asbæk, Dar Salim, Roland Møller, Gary Skjoldmose Porter, Abdihakin Asgar, Amalie Ihle Alstrup, Ole Dupont",A Hijacking ,R,Unknown Date            ,Tension mounts when a Danish cargo ship bound for harbor is hijacked by Somali pirates and held for a hefty ransom in the millions.,Tobias Lindholm,1hr 43m,,"International Thrillers, Scandinavian Films, Crime Dramas, Crime Thrillers, International Dramas, Dramas, International Movies, Thrillers",7.2/10,http://www.imdb.com/title/tt2216240/,https://art-s.nflximg.net/88168/f3075e6426407d6cea5bcf1b4e4b5831a6488168.jpg,3.5/5,2012
33,"Christopher Atkins, Dean Cain, Lee Meriwether, Cazi Greene, Chalet Lizette Brannan, Mandalynn Carlson, Terri Minton, Bobbi Jeen Olson",A Horse For Summer ,PG,1st April 2015            ,A troubled teen staying at her uncle's Arizona horse ranch makes a fateful decision that will test the community's capacity for forgiveness.,Nancy Criss,1hr 37m,,"Family Features, Dramas, Children & Family Films, Family Dramas, Teen Dramas",5.6/10,http://www.imdb.com/title/tt2901516/,https://art-s.nflximg.net/eda3e/c0e2276dd1571edcb50b9110d92e8c8a703eda3e.jpg,3.5/5,2014
34,"Joseph W. Sarno, Peggy Steffans",A Life in Dirty Movies ,NR,23rd December 2014            ,"With his days as a porn director far behind him, 88-year-old Joseph W. Sarno dreams of helming one last movie but finds the business greatly changed.",Wiktor Ericsson,1hr 22m,,"Social & Cultural Documentaries, Documentaries, Biographical Documentaries",6.7/10,http://www.imdb.com/title/tt2645000/,https://art-s.nflximg.net/336b7/16793a72a397039e7cfac07ea38e8553ffa336b7.jpg,2.9/5,2013
35,"Ian Holm, Holly Hunter, Delroy Lindo, Ian McNeice, Cameron Diaz, Ewan McGregor, Maury Chaykin, Dan Hedaya, Tony Shalhoub, Stanley Tucci, K.K. Dodds",A Life Less Ordinary ,R,3rd April 2016            ,"Determined to live ""a life less ordinary,"" Robert, a down-and-out janitor, kidnaps narcissistic heiress Celine in hopes of pulling in a big ransom.",Danny Boyle,1hr 43m,,"Dark Comedies, Romantic Comedies, Comedies",6.4/10,http://www.imdb.com/title/tt0119535/,https://art-s.nflximg.net/19371/ae0ed0d05b26090d1d326249cb9353daaa919371.jpg,3.1/5,1997
36,"Uche Nwadili, Ngozi Amarikwa, Nonso Odogwu, Frances Okeke",B for Boy ,NR,16th September 2015            ,"Amaka is pregnant and under pressure to produce a male heir. But when she miscarries, she desperately seeks a baby boy to pass off as her own.",Chika Anadu,1hr 52m,,"Social Issue Dramas, Dramas, International Dramas",7.1/10,http://www.imdb.com/title/tt2784204/,https://art-s.nflximg.net/41416/af37ac5ec5f1c2606ced2e389f56a2c7db241416.jpg,3/5,2013
37,"Rajesh Sharma, Dibyendu Bhattacharya, Shilpa Shukla, Shadab Kamal, Vijay Kaushik, Anula Navlekar, Happy Ranjit, Raveena Singh, Padam Mishra",B.A. Pass ,NR,1st June 2016            ,"Orphaned and at loose ends, young Mukesh falls into the seductive orbit of married Sarika, who leads him ever deeper into a world of sex and betrayal.",Ajay Bahl,1hr 39m,,"Dramas based on a book, Dramas, International Dramas",6.6/10,http://www.imdb.com/title/tt2408040/,https://art-s.nflximg.net/628dc/b0eb304ed29de83b040a3fc7ab2c3ebf08f628dc.jpg,2.3/5,2013
38,"George Inci, Beatrice von Moreau",Baba ,NR,1st July 2016            ,"In this visually arresting drama, a musician recalls his life and the painful choice his mother made when she could feed only one of her twin sons.",George Inci,1hr 4m,,"Independent Dramas, Dramas, International Dramas",http://www.imdb.com/title/tt3826294/,http://www.imdb.com/title/tt3826294/,https://art-s.nflximg.net/2e876/f64e7078105e858b629fc89b50dbb1aece32e876.jpg,2.2/5,2014
39,"Essie Davis, Noah Wiseman, Hayley McElhinney, Daniel Henshall, Barbara West, Ben Winspear",The Babadook ,NR,14th April 2015            ,"Sam's frequent tantrums turn sinister when a creepy children's book mysteriously appears in his room, and he asks his mother, ""Do you want to die?""",Jennifer Kent,1hr 33m,,"Independent Thrillers, Horror Films, Australian Films, Psychological Thrillers, Supernatural Horror Films, Supernatural Thrillers, Independent Films, Thrillers",6.8/10,http://www.imdb.com/title/tt2321549/,https://art-s.nflximg.net/16a84/c4c6b6058ea52f9e4890faa34266d76a13316a84.jpg,3.6/5,2014
40,"Raymond Lam, Kate Tsui, Karena Ng, Yu Bo, Irene Wan, Hoi-pang Lo, Janelle Sing",Baby Blues ,NR,1st November 2014            ,"After delivering a stillborn twin, a new mom begins to unravel and invests her dead child's identity in a sinister-looking doll found in her new home.",Po-Chih Leong,1hr 31m,,"Chinese Films, Horror Films, Supernatural Horror Films, International Movies",3.8/10,http://www.imdb.com/title/tt2375318/,https://art-s.nflximg.net/2f7ce/330b7f1302f27103643c4ad87619b7fc2c62f7ce.jpg,3/5,2013
41,"Tahj Mowry, Melissa Peterman, Jean-Luc Bilodeau, Chelsea Kane, Derek Theler",Baby Daddy ,TV-14,15th September 2014            ,"Ben unexpectedly becomes a parent when an ex-girlfriend drops off a baby girl. But with help from friends and family, he steps into the role of dad.",,5 Seasons,23min                ,"TV Programmes, Sitcoms, TV Comedies",7.4/10,http://www.imdb.com/title/tt2177489/,https://art-s.nflximg.net/358c8/cd9854da8ce07c1068b929228c7af30e974358c8.jpg,4.3/5,2016
42,,Baby Genius: Baby Animals Favorite Sing-A-Longs ,TV-Y,Unknown Date            ,"A host of catchy sing-a-long tunes accompany this educational trip to the zoo, where kids visit baby gorillas, tiger cubs and other newborn critters.",,34m,34min                ,"Animal Tales, TV Programmes, Kids' TV for ages 0 to 2, Education & Guidance, Kids' TV, Kids' TV for ages 2 to 4, Kids' Music",,,https://art-s.nflximg.net/f6033/be8e337c634116a7e0f472246dfc5f3a1eff6033.jpg,3.1/5,2006
43,,Baby Genius: Favorite Children's Songs ,TV-Y,Unknown Date            ,"In this toe-tapping video, Vinko the dancing bear and DJ the dinosaur lead children in classic sing-a-long songs such as ""Pop Goes the Weasel.""",,30m,30min                ,"Animal Tales, Music, TV Programmes, Kids' TV for ages 0 to 2, Education & Guidance, Kids' TV, Kids' TV for ages 2 to 4, Kids' Music",,,https://art-s.nflximg.net/f279b/5984b30c38191bea33402823e065893a462f279b.jpg,3.2/5,2006
