,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
386,The Kids Are All Right ,"Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson, Yaya Alafia, Kunal Sharma, Eddie Hassell, Zosia Mamet, Joaquin Garrido, Rebecca Lawrence Levy",R,Unknown Date            ,The children of same-sex parents become curious about the identity of their sperm-donor dad and set out to make him part of their family unit.,Lisa Cholodenko,1hr 46m,,"Gay & Lesbian Films, Independent Comedies, Dramas, Gay & Lesbian Dramas, Independent Films, Gay & Lesbian Comedies, Independent Dramas, Comedies",7.1/10,http://www.imdb.com/title/tt0842926/,https://art-s.nflximg.net/bd61b/83c96d5cd7f9f9d359e7a56e83ac2023a7fbd61b.jpg,3.4/5,2010
387,Kill Me Three Times ,"Simon Pegg, Steve Le Marquand, Alice Braga, Teresa Palmer, Sullivan Stapleton, Luke Hemsworth, Callan Mulvey, Bryan Brown",R,6th August 2015            ,"An assassin hunts down his mark in a small coastal town, but the simple job proves not so simple as he becomes entangled in a dark tale of revenge.",Kriv Stenders,1hr 30m,,"Australian Films, Crime Thrillers, Dark Comedies, Film Noir, Thrillers, Comedies",5.9/10,http://www.imdb.com/title/tt2396551/,https://art-s.nflximg.net/a27d6/0e4405a84b600548f8b4fb7832aae5cdc9ca27d6.jpg,3.5/5,2014
388,Kindergarten Cop 2 ,"Bill Bellamy, Dolph Lundgren, Aleks Paunovic, Sarah Strange, Fiona Vroom, Darla Taylor, Jody Thompson, Enid-Raye Adams, Raphael Alejandro, Andre Tricoteux",PG-13,17th May 2016            ,A hard-edged FBI agent goes undercover as a kindergarten teacher to recover stolen Witness Protection Program data in this action-comedy sequel.,Don Michael Paul,1hr 40m,,Comedies,4.4/10,http://www.imdb.com/title/tt4763168/,https://art-s.nflximg.net/b4384/57d5d35d69d3ec7cc91d6c18d9283cd464db4384.jpg,3.5/5,2016
389,King of Comedy ,"Karen Mok, Stephen Chow, Cecilia Cheung, Joe Cheng, Man Tat Ng, Mo-Chan Chik, Man-Fai Cheng",NR,25th June 2015            ,"In this hilarious spoof on the John Woo/Chow Yun Fat heroic bloodshed films, funnyman Stephen Chow (who also directs) stars as a movie extra who thinks he's the greatest actor in the world; he just needs to catch his big break.","Stephen Chow, Lik-Chi Lee",1hr 28m,,"Chinese Films, International Comedies, International Movies, Spoofs & Satires, Comedies",7.3/10,http://www.imdb.com/title/tt0188766/,https://art-s.nflximg.net/20735/72e86530a35e6299cd1c92a55e1aa7a7b0f20735.jpg,3.3/5,1999
390,Kingpin ,"Vanessa Angel, Woody Harrelson, Bill Murray, Randy Quaid, Chris Elliott, William Jordan, Richard Tyson, Lin Shaye",PG-13,4th October 2015            ,"After a bowler loses his hand, his career takes a nosedive. That is, until he uncovers the next big thing: an Amish kid named Ishmael.","Peter Farrelly, Bobby Farrelly",1hr 53m,,"Late Night Comedies, Sports Comedies, Comedies",6.9/10,http://www.imdb.com/title/tt0116778/,https://art-s.nflximg.net/a430c/f417b27e851f03239205a73696af9e2b7fea430c.jpg,3.6/5,1996
391,Klappe Cowboy! ,"Texas Terri, Timo Jacobs, David Bredin, Peter Koskowski, Yps van Tule, Adrian Dittus, Tibor Taylor, Tom Sommerlatte",NR,1st July 2016            ,"A self-proclaimed director goes to Berlin to make it big, but ends up in a racy shoot with a conceptual artist that turns into a creative wasp's nest.","Timo Jacobs, Ulf Behrens",1hr 23m,,"Comedies, Independent Films, International Comedies",6.2/10,http://www.imdb.com/title/tt2325795/,https://art-s.nflximg.net/7da7b/7491ae4e04272c15a19a342c9ca5459522b7da7b.jpg,1.7/5,2012
392,Knights of Badassdom ,"Ryan Kwanten, Steve Zahn, Peter Dinklage, Summer Glau, Margarita Levieva, Jimmi Simpson, Danny Pudi, Joshua Malina, Tom Hopper, W. Earl Brown",R,1st December 2014            ,"Venturing into the woods to act out a medieval fantasy, three friends face a real-life struggle for survival after inadvertently conjuring a succubus.",Joe Lynch,1hr 25m,,"Horror Comedy, Horror Films, Sci-Fi & Fantasy, Independent Comedies, Independent Films, Fantasy, Comedies",5.7/10,http://www.imdb.com/title/tt1545660/,https://art-s.nflximg.net/0ae39/4571e7f536685e48bc3c7c60066c3da90820ae39.jpg,3.6/5,2013
393,Knock 'Em Dead ,"Rae Dawn Chong, Anne-Marie Johnson, Debra Wilson, Jackée Harry, Christopher Judge, Betsy Russell, Phil Morris, Daniel Bernhardt, Omarosa Manigault",NR,1st March 2015            ,"Three rival actresses and the crew of a horror movie reunite for a sequel, but one among them mimics the film's methods to start a killing spree.",David DeCoteau,1hr 32m,,"Independent Comedies, Mysteries, Late Night Comedies, Independent Films, Comedies",5.9/10,http://www.imdb.com/title/tt1251736/,https://art-s.nflximg.net/3bb4a/d17f43364047b95a9fb4721a67cf00750423bb4a.jpg,2.4/5,2014
394,Knucklehead ,"Will Patton, Dennis Farina, Mark Feuerstein, Melora Hardin, Rebecca Creskoff, Big Show, Saul Rubinek, Wendie Malick, Kurt Doss, Lurie Poston, Bobb'e J. Thompson, Raziel Jordan",PG-13,8th July 2016            ,"Drowning in gambling debts to his bookie, a former MMA champ trains a gentle giant for a high-stakes fighting competition with a $100,000 prize.",Michael W. Watkins,1hr 40m,,"Late Night Comedies, Sports Comedies, Comedies",5.3/10,http://www.imdb.com/title/tt1524131/,https://art-s.nflximg.net/05ebf/9921165d25aaa9848c5d45730d85a681b8905ebf.jpg,3.7/5,2010
395,Kronk's New Groove ,"Patrick Warburton, Tracey Ullman, Eartha Kitt, David Spade, John Goodman, Wendie Malick, John Mahoney, John Fiedler, Bob Bergen, Eli Russell Linnetz",G,Unknown Date            ,"Mischief and mayhem reign in this animated sequel when Kronk, the sorceress Yzma's bodybuilder assistant, finds out his father is coming to visit.","Saul Blinkoff, Elliot M. Bour, Robin Steele",1hr 15m,,"Films for ages 5 to 7, Family Adventures, Films for ages 8 to 10, Children & Family Films, Family Comedies, Disney, Comedies",5.9/10,http://www.imdb.com/title/tt0401398/,https://art-s.nflximg.net/2f3a5/56d86df9ba64ca48c1c21758ee908bb0ace2f3a5.jpg,3.7/5,2005
396,Kuch Kuch Hota Hai ,"Rani Mukerji, Kajol, Farida Jalal, Reema Lagoo, Shah Rukh Khan, Archana Puran Singh, Salman Khan, Anupam Kher, Johnny Lever, Himani Shivpuri, Sana Saeed, Parzun Dastur",NR,27th November 2015            ,"A girl tracks down her widowed dad's college best friend, believing they're meant to be together. But the woman is already engaged to another man.",Karan Johar,3hr 4m,,"Romantic Comedies, Comedies, International Comedies",7.8/10,http://www.imdb.com/title/tt0172684/,https://art-s.nflximg.net/d2213/c8e6ed32788d9650dfefe8364d32c944e9dd2213.jpg,4/5,1998
397,Kung Fu Panda: Holiday ,"Jack Black, Angelina Jolie, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Dan Fogler",NR,Unknown Date            ,"As preparations for the Winter Feast build, Po is caught between his obligations as the Dragon Warrior and his family holiday traditions.",Tim Johnson,26m,,"Films for ages 5 to 7, Family Features, Films for ages 11 to 12, Films for ages 8 to 10, Family Feature Animation, Family Comedies, Children & Family Films, Comedies",6.9/10,http://www.imdb.com/title/tt1702433/,https://art-s.nflximg.net/2f2d3/caffb644006caefb7d404460bd452f92cb52f2d3.jpg,3.8/5,2010
398,Kung Fury ,"Jorma Taccone, David Sandberg, Leopold Nilsson, Andreas Cahling, Steven Chew, Erik Hörnqvist, Helene Ahlson, Eleni Young",NR,22nd October 2015            ,A Miami detective imbued with ninja superpowers travels back in time to kill Adolf Hitler and the Nazis in an arcade game-style war.,David Sandberg,30m,,"Action & Adventure, Action Comedies, International Action & Adventure",8.1/10,http://www.imdb.com/title/tt3472226/,https://art-s.nflximg.net/76949/7f2c72b0b98105c3fff1be4dc9ffe0e79ba76949.jpg,4.3/5,2015
399,Kya Kool Hain Hum 3 ,"Shakti Kapoor, Aftab Shivdasani, Tusshar Kapoor, Darshan Jariwala, Krishna Abhishek, Mandana Karimi, Meghna Naidu, Sushmita Mukherjee, Anand Kumar, Claudia Ciesla",R,1st July 2016            ,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",Umesh Ghadge,2hr 3m,,"Late Night Comedies, Comedies, International Comedies",1.8/10,http://www.imdb.com/title/tt5290620/,https://art-s.nflximg.net/98d74/287628079eca5d1e7ed915843c40d91d54c98d74.jpg,1.8/5,2016
400,L'Auberge Espagnole ,"Judith Godrèche, Audrey Tautou, Romain Duris, Cécile De France, Cristina Brondo, Kelly Reilly, Kevin Bishop, Federico D'Anna, Christian Pagh, Barnaby Metschurat",R,3rd June 2016            ,"When a Frenchman signs on to become an exchange student in Spain so he can land a coveted job, his new roommates help him discover how to enjoy life.",Cédric Klapisch,2hr 2m,,"Romantic Comedies, Comedies, International Comedies",7.3/10,http://www.imdb.com/title/tt0283900/,https://art-s.nflximg.net/f1113/2e450d1c0dd870611c6dcafb0d5b63d0622f1113.jpg,3.7/5,2002
401,La Familia P. Luche ,"Miguel Perez, Eugenio Derbez, Consuelo Duval, Regina Blandón, Luis Manuel Ávila, Barbara Torres, Pierre Angelo, Dalilah Polanco",TV-14,11th July 2016            ,"This irreverent sitcom featues Ludovico, Federica and their three children Bibi, Junior and Ludoviquito, living in Ciudad P. Luche.",,3 Seasons,22min                ,"TV Programmes, TV Comedies, Spanish-Language TV Shows",8.1/10,http://www.imdb.com/title/tt1244672/,https://art-s.nflximg.net/4cd4c/8b9aa6ee0617779cc390a069d2b8630beed4cd4c.jpg,4/5,2012
402,La Fea más Bella ,"Elizabeth Alvarez, José José, Jaime Camil, Juan Soler, Paty Navidad, Angélica Vale, Angelica Maria, Nora Salinas, Sergio Mayer, Niurka Marcos",TV-14,12th May 2016            ,Bright but plain-looking Lety gets a job at a fashion company run by a womanizing CEO. Will she finally get the recognition she deserves?,,1 Season,43min                ,"TV Programmes, TV Comedies, Spanish-Language TV Shows",,,https://art-s.nflximg.net/2ac99/a7a1dd8f1aab06e1643f0329e3e9f1af5d52ac99.jpg,3.7/5,2006
403,La mafia uccide solo d'estate ,"Antonino Bruschetta, Claudio Gioè, Cristiana Capotondi, Pierfrancesco Diliberto, Ginevra Antona, Alex Bisconti, Domenico Centamore, Maurizio Marchetti",NR,23rd August 2015            ,"Between the 1970s and 1980s, as the Mafia terrorizes his homeland with bombs and killings, young, love-struck Sicilian Arturo grows to manhood.",Pierfrancesco Diliberto,1hr 29m,,"Spoofs & Satires, Comedies, International Comedies",7.2/10,http://www.imdb.com/title/tt3374966/,https://art-s.nflximg.net/12677/3ddb46ddff7241364f65f1294853e24608612677.jpg,3.3/5,2015
404,La Suegra ,"Jacqueline Arenal, Christian Tappán, Andrés Parra, Laura Perico, María Cecilia Botero, Alberto Saavedra",TV-PG,1st August 2015            ,"When she loses her job as a TV personality in the United States, Victoria returns to Colombia to rebuild her life and win back her true love.",,1 Season,48min                ,"TV Soaps, TV Programmes, TV Comedies, Spanish-Language TV Shows",http://www.imdb.com/title/tt3701578/,http://www.imdb.com/title/tt3701578/,https://art-s.nflximg.net/7bfed/ee6da432d656868236e302bad53cb23f9867bfed.jpg,2.3/5,2014
405,Lady Dynamite ,"Mary Kay Place, Ed Begley Jr., Ana Gasteyer, Fred Melamed, Maria Bamford, Lennon Parham, Jon Cryer, Mira Sorvino, Dean Cain, Ólafur Darri Ólafsson, Sarah Silverman, Patton Oswalt, Brandon Routh, Mo Collins, June Diane Raphael, Tig Notaro, Adam Pally, Jenny Slate, Bridget Everett, Keith Lucas, Kenny Lucas",TV-MA,20th May 2016            ,Comedian Maria Bamford stars in a series inspired by her own life. It's the sometimes surreal story of a woman who loses -- and then finds -- her s**t.,,1 Season,35min                ,"Mockumentaries, TV Programmes, TV Comedies",7.9/10,http://www.imdb.com/title/tt4789300/,https://art-s.nflximg.net/d7576/0e05e27a55416f27e65a1d7901be277bfcdd7576.jpg,3.5/5,2016
406,Lagos Cougars ,"Monalisa Chinda, Uche Jumbo, Daniella Okeke, Alex Ekubo",NR,10th April 2015            ,Three corporate women in their forties embark on the adventure of their lives in a quest to find love -- or simply explore their wildest fantasies.,Desmond Elliot,1hr 45m,,"Romantic Dramas, International Comedies, International Dramas, Dramas, African Films, International Movies, Romantic Comedies, Romantic Films, Comedies",,,https://art-s.nflximg.net/8bb8b/10268586fca6aa39b8155a4f11fa7f367d98bb8b.jpg,3.2/5,2013
407,Laid ,"Graeme Blundell, Abe Forsythe, Allison Bell, Toby Truslove, Celia Pacquola",TV-14,1st November 2015            ,"Startled to realize that her former lovers are dying in unusual ways, a market researcher tries to unravel the cause and save her remaining exes.",,2 Seasons,25min                ,"TV Programmes, Sitcoms, TV Comedies",7.3/10,http://www.imdb.com/title/tt1695583/,https://art-s.nflximg.net/e3d7f/42f2de89e4d1c94407c01d7fb2fa96e27ade3d7f.jpg,3.4/5,2012
408,Larry Crowne ,"Bryan Cranston, Tom Hanks, Julia Roberts, Cedric the Entertainer, Taraji P. Henson, Gugu Mbatha-Raw, Pam Grier, Wilmer Valderrama, Sarah Mahoney",PG-13,16th March 2016            ,"Laid off from his longtime job at a soulless retail giant, an average middle-aged guy heads back to college, where he finds romance with a professor.",Tom Hanks,1hr 38m,,"Romantic Comedies, Comedies, Romantic Films",6.1/10,http://www.imdb.com/title/tt1583420/,https://art-s.nflximg.net/d3cb3/6f330964b953ed7e31b2d4f7c444d616b21d3cb3.jpg,3.5/5,2011
409,The Last Five Years ,"Anna Kendrick, Jeremy Jordan",PG-13,15th January 2016            ,"A novelist and his actress wife recall the story of their relationship through music, starting from opposite points in time and meeting in the middle.",Richard LaGravenese,1hr 34m,,"Romantic Comedies, Dramas, Comedies",5.9/10,http://www.imdb.com/title/tt2474024/,https://art-s.nflximg.net/b249b/b91b03b8e5e2a28358329f9bdd2f01fe840b249b.jpg,3.4/5,2015
410,Last Holiday ,"Giancarlo Esposito, Timothy Hutton, Queen Latifah, Alicia Witt, LL Cool J, Gérard Depardieu, Michael Nouri, Ranjit Chowdhry, Jascha Washington, Matt Ross, Jane Adams, Susan Kellermann, Michael Estime",PG-13,1st May 2016            ,"Given the news she's terminally ill, Georgia throws caution to the wind, breaks out of her shell and takes a no-holds-barred European vacation.",Wayne Wang,1hr 51m,,"Romantic Comedies, Comedies, Romantic Films",6.4/10,http://www.imdb.com/title/tt0408985/,https://art-s.nflximg.net/53323/773eccabd41d8c40f0529aebc488fe8d0a153323.jpg,3.7/5,2006
411,Last Man Standing ,"Hector Elizondo, Nancy Travis, Tim Allen, Kaitlyn Dever, Christoph Sanders, Molly Ephraim, Alexandra Krosney",TV-PG,15th September 2014            ,"After his wife's career takes off, Mike finds himself in charge of parenting their three daughters and trying to stay afloat in all the estrogen.",,4 Seasons,21min                ,"TV Programmes, Sitcoms, TV Comedies",6.4/10,http://www.imdb.com/title/tt0116830/,https://art-s.nflximg.net/c36e6/dc4585192aa77a78fea1133dcefff98b38bc36e6.jpg,4.2/5,2015
412,The Last Time You Had Fun ,"Jimmi Simpson, Mary Elizabeth Ellis, Demetri Martin, Kyle Bornheimer, Charlyne Yi, Eliza Coupe, Robert Baker, Todd Berger",NR,1st November 2015            ,Sisters out on the town for a carefree night discover partners in crime in two buddies who are on the prowl for a good time.,Mo Perkins,1hr 18m,,"Independent Dramas, Dramas, Comedies",6/10,http://www.imdb.com/title/tt3133246/,https://art-s.nflximg.net/2bc52/5034036a5423efca0cdf9442c95d693ac502bc52.jpg,3.3/5,2014
413,Last Weekend ,"Patricia Clarkson, Julio Oscar Mechoso, Zachary Booth, Rutina Wesley, Fran Kranz, Devon Graye, Joseph Cross, Alexia Rasmussen, Jayma Mays, Julie Carmen, Judith Light, Chris Mulkey",NR,30th December 2014            ,"With plans for the perfect holiday before selling the family vacation home, nitpicky Celia's chaos-loving sons make her goal more than a challenge.","Tom Dolby, Tom Williams",1hr 34m,,"Independent Comedies, Dramas, Independent Films, Independent Dramas, Comedies",5.3/10,http://www.imdb.com/title/tt2435458/,https://art-s.nflximg.net/817d8/ac7cd618bebf77cfd46ae601ab2542ac88c817d8.jpg,3.1/5,2014
414,Lavell Crawford: Can a Brother Get Some Love? ,Lavell Crawford,NR,Unknown Date            ,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love -- and the laughs.",Michael Drumm,1hr 20m,,"Stand-up Comedy, Comedies",7.3/10,http://www.imdb.com/title/tt2084872/,https://art-s.nflximg.net/45a81/4c30d81b802b86d7432519610b5ffc921d845a81.jpg,3.8/5,2011
415,Le Chef ,"Jean Reno, Michaël Youn, Raphaëlle Agogué, Julien Boisselier, Salomé Stévenin, Serge Larivière, Issa Doumbia, Bun-hay Mean, Pierre Vernier, Santiago Segura, Geneviève Casile, André Penvern",PG-13,20th December 2014            ,The friction between gourmet chef Alexandre Lagarde and his interfering boss threatens to ruin Lagarde's reputation and lose him his position.,Daniel Cohen,1hr 24m,,"International Comedies, International Movies, French Films, Comedies",6.6/10,http://www.imdb.com/title/tt1911553/,https://art-s.nflximg.net/d9cde/0132888ef6246a160ce7f5ffa7da388f7acd9cde.jpg,4.1/5,2012
416,Leading Lady ,"Gil Bellows, Katie McGrath, André Stolz, Bok van Blerk, Brümilda van Rensburg, Eduan van Jaarsveldt, Mary Twala, Craig Palm, Jana Strydom",NR,1st May 2016            ,A drama teacher and aspiring actress travels to South Africa to research a role and agrees to direct the town's small theater production.,Henk Pretorius,1hr 36m,,"Romantic Comedies, Comedies, International Comedies",http://www.imdb.com/title/tt4648564/,http://www.imdb.com/title/tt4648564/,https://art-s.nflximg.net/b2d86/be752bea06c71ef04034c534ef288f3dd03b2d86.jpg,3.3/5,2015
417,The League ,"Mark Duplass, Katie Aselton, Paul Scheer, Nick Kroll, Stephen Rannazzisi, Jonathan Lajoie",TV-MA,15th September 2014            ,Fantasy football tackles reality in this semi-scripted look at some friends whose hobby provides an outlet in the form of trash-talking and deceit.,,7 Seasons,26min                ,"TV Programmes, Sitcoms, TV Comedies",8.3/10,http://www.imdb.com/title/tt1480684/,https://art-s.nflximg.net/1bce3/e23d338bc232f088333b30c924b41a196941bce3.jpg,4.2/5,2015
418,Leap Year ,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan, Tony Rohr, Pat Laffan, Alan Devlin, Ian McElhinney, Dominique McElligott",PG,12th August 2015            ,"Anna chooses February 29 to propose marriage to her boyfriend, but after meeting a charming innkeeper, she must evaluate her original plans.",Anand Tucker,1hr 40m,,"Romantic Comedies, Romantic Films, Comedies",6.4/10,http://www.imdb.com/title/tt1216492/,https://art-s.nflximg.net/f17e8/42fba5d650820db525238d5c6389d8bbcbaf17e8.jpg,3.7/5,2010
419,Legally Blonde ,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge, Holland Taylor, Ali Larter, Jessica Cauffiel, Alanna Ubach, Linda Cardellini, Meredith Scott Lynn, Raquel Welch, Wayne Federman, Tane McClure, James Read",PG-13,1st May 2015            ,"To win back her Harvard-bound former beau, Valley girl Elle Woods enrolls at the university's law school -- and ends up excelling in the legal arts.",Robert Luketic,1hr 36m,,"Romantic Favourites, Romantic Comedies, Comedies, Romantic Films",6.2/10,http://www.imdb.com/title/tt0250494/,https://art-s.nflximg.net/87f17/b3c37cd768456f03ce45b2480a691f7cc3487f17.jpg,3.6/5,2001
420,"Legally Blonde 2: Red, White & Blonde ","Reese Witherspoon, Sally Field, Regina King, Jennifer Coolidge, Bruce McGill, Dana Ivey, Mary Lynn Rajskub, Jessica Cauffiel, Alanna Ubach, Bob Newhart, Luke Wilson, Jack McGee, James Read",PG-13,1st May 2015            ,"After being fired by her law firm because of her opposition to animal testing, perky aspiring attorney Elle Woods takes her fight to Washington, D.C.",Charles Herman-Wurmfeld,1hr 34m,,"Romantic Favourites, Romantic Comedies, Comedies, Romantic Films",4.6/10,http://www.imdb.com/title/tt0333780/,https://art-s.nflximg.net/b9ee8/1af3a8ff1996c51a3b97ab4e7cd1b30771eb9ee8.jpg,3.2/5,2003
421,Legit ,"DJ Qualls, Dan Bakkedahl, Jim Jefferies",TV-MA,15th September 2014            ,"Comic Jim Jefferies plays a version of himself, a fun-loving, irresponsible stand-up sensation whose mother constantly plots to get him to go legit.",,2 Seasons,22min                ,"Sitcoms, TV Programmes, TV Comedies",8.2/10,http://www.imdb.com/title/tt2400391/,https://art-s.nflximg.net/5be38/3fa000f82e3b4065e21b57572101ba8dc8e5be38.jpg,4.2/5,2014
422,Lemonade Mouth ,"Bridgit Mendler, Adam Hicks, Hayley Kiyoko, Naomi Scott, Blake Michael, Nick Roux, Chris Brochu, Shishir Kurup, Tisha Campbell-Martin, Christopher McDonald",TV-G,Unknown Date            ,Five high school students meet in detention and form a band that not only rocks their school but becomes a force for good in this Disney musical.,Patricia Riggen,1hr 47m,,"Disney Musicals, Films for ages 11 to 12, Films for ages 8 to 10, Dramas, Family Comedies, Children & Family Films, Family Dramas, Teen Dramas, Kids' Music, Musicals, Disney, Comedies, Teen Comedies",7/10,http://www.imdb.com/title/tt1648204/,https://art-s.nflximg.net/bab57/ba5ce912b3d0342c7c3016aedd9890296fabab57.jpg,4.1/5,2011
423,Leroy & Stitch ,"David Ogden Stiers, Daveigh Chase, Chris Sanders, Tia Carrere, Kevin McDonald, Kevin Michael Richardson, Rob Paulsen, Jeff Bennett, Zoe Caldwell, Ving Rhames, Liliana Mumy",G,Unknown Date            ,"When Dr. Hamsterviel forces Dr. Jumba to create Stitch's evil twin, it's up to Lilo to reunite with Pleakley, Jumba and Stitch and save the day.","Tony Craig, Roberts Gannaway",1hr 12m,,"Films for ages 5 to 7, Family Sci-Fi & Fantasy, Films for ages 8 to 10, Children & Family Films, Family Comedies, Disney, Comedies",6.3/10,http://www.imdb.com/title/tt0486761/,https://art-s.nflximg.net/ff049/17bf50d67e7ddcc323ffaf5ea91b1a24fbbff049.jpg,3.9/5,2006
424,Lessons for a Kiss ,"Salvatore Basile, Cristina Umaña, Jose Julian Gaviria, Oscar Mauricio Rodriguez, Vanessa Galvis, Bárbaro Marín, Laura García, Catalina Londoño, Mimi Morales",NR,15th January 2016            ,"When a teenage boy falls for a beautiful girl, he turns for advice to three experts with competing strategies in the art of romance.",Juan Pablo Bustamante,1hr 47m,,"Romantic Comedies, Comedies, International Comedies",,,https://art-s.nflximg.net/2e04a/af80ab185c4e9480bffebfad79cbaba7f0f2e04a.jpg,2.1/5,2011
425,Let Go ,"David Denman, Gillian Jacobs, Kevin Hart, Edward Asner, Simon Helberg, Maria Thayer, Alexandra Holden, Kali Hawk, Jack Carter, Peggy McCay",NR,Unknown Date            ,A disheartened parole officer struggling to find happiness in a ho-hum marriage finds inspiration from an unlikely source: his own parolees.,Brian Jett,1hr 49m,,"Independent Comedies, Dark Comedies, Romantic Independent Films, Independent Films, Romantic Comedies, Comedies, Romantic Films",5.4/10,http://www.imdb.com/title/tt1674776/,https://art-s.nflximg.net/b49a8/436045af33346a149b2ebbba9a1fb087e97b49a8.jpg,3.3/5,2011
426,Lethal Weapon 2 ,"Joss Ackland, Mel Gibson, Danny Glover, Patsy Kensit, Derrick O'Connor, Joe Pesci, Darlene Love, Steve Kahan, Traci Wolfe",R,1st July 2016            ,Detectives Riggs and Murtaugh trace a trunk full of gold coins to a South African diplomat who's using his immunity to conceal a smuggling operation.,Richard Donner,1hr 54m,,"Action & Adventure, Action Comedies, Action Thrillers",7.2/10,http://www.imdb.com/title/tt0097733/,https://art-s.nflximg.net/745cb/51a06c7906dcbd38376863647c1b2bd9739745cb.jpg,3.7/5,1989
427,Lethal Weapon 3 ,"Mel Gibson, Danny Glover, Joe Pesci, Stuart Wilson, Rene Russo, Steve Kahan, Darlene Love, Traci Wolfe",R,1st July 2016            ,"Archetypal buddy cops Martin Riggs and Roger Murtaugh return, this time to bring down a former police lieutenant turned black market weapons dealer.",Richard Donner,1hr 57m,,"Action & Adventure, Action Comedies, Action Thrillers",6.7/10,http://www.imdb.com/title/tt0104714/,https://art-s.nflximg.net/cab8a/46937b5c672b1e803396e50176b903cf740cab8a.jpg,3.6/5,1992
428,Lethal Weapon 4 ,"Mel Gibson, Danny Glover, Jet Li, Joe Pesci, Chris Rock, Rene Russo, Darlene Love, Kim Chan, Steve Kahan, Traci Wolfe",R,1st July 2016            ,"Maverick detectives Riggs and Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency.",Richard Donner,2hr 7m,,"Action & Adventure, Action Comedies, Action Thrillers",6.6/10,http://www.imdb.com/title/tt0122151/,https://art-s.nflximg.net/091ad/33af6a05be3f3249fe399fed0b7ccd1dba8091ad.jpg,3.6/5,1998
429, ,"Alane Delhaye, Lucy Caron, Bernard Pruvost, Philippe Jore, Philippe Brigaud, Julien Bodard, Corentin Carpentier, Pascal Fresch, Jason Cirot, Baptiste Anquez, Stéphane Boutillier",NR,2nd June 2015            ,"When a dismembered female body is recovered from inside a dead cow, police captain Van der Weyden launches a wildly incompetent investigation.",Bruno Dumont,3hr 26m,10hr 26min                ,"TV Programmes, Crime TV Programmes, TV Comedies, TV Mysteries",7.4/10,http://www.imdb.com/title/tt3053694/,https://art-s.nflximg.net/be401/a075e2ddeb417a27fba1a0c046639aad1d8be401.jpg,2.4/5,2014
430,Liberal Arts ,"Josh Radnor, Elizabeth Olsen, Richard Jenkins, Allison Janney, Elizabeth Reaser, John Magaro, Kate Burton, Robert Desiderio, Zac Efron, Kristen Bush",PG-13,18th October 2014            ,"A speaking engagement brings 35-year-old Jesse back to his college alma mater, where he's blindsided by nostalgia and a plucky sophomore named Zibby.",Josh Radnor,1hr 37m,,"Independent Comedies, Romantic Independent Films, Independent Films, Romantic Comedies, Comedies, Romantic Films",6.7/10,http://www.imdb.com/title/tt1872818/,https://art-s.nflximg.net/eb3b6/63a8720135f9ff38dea3bd4ecba43e3dbd8eb3b6.jpg,3.5/5,2012
431,Lies Men Tell ,"Desmond Elliot, Uche Jumbo, Robert Peters, Bayray Mcnwizu, Keira Hewatch, Mofe Duncan",NR,10th April 2015            ,Cheating husbands get their due when their devoted wives become fed up with the constant lies and embarrassment and set out to teach them a lesson.,Ikechukwu Onyeka,1hr 19m,,"Romantic Dramas, International Comedies, International Dramas, Dramas, African Films, International Movies, Romantic Comedies, Romantic Films, Comedies",,,https://art-s.nflximg.net/94dc6/5aca53455e1908635889a2cab13c1292da294dc6.jpg,3.1/5,2013
432,Life of Riley ,"Sabine Azéma, Hippolyte Girardot, Caroline Silhol, Michel Vuillermoz, Sandrine Kiberlain, Andre Dussolier, Alba Gaïa Kraghede Bellugi",NR,10th March 2015            ,"Romantic chaos abounds in this satire of love and manners inspired by a character named George Riley, who's constantly spoken of but never seen.",Alain Resnais,1hr 48m,,"International Comedies, International Dramas, Dramas, International Movies, French Films, Comedies",6/10,http://www.imdb.com/title/tt2751390/,https://art-s.nflximg.net/3af6f/f99ace908f213f239a532fc81c785d78cad3af6f.jpg,2/5,2014
433,Life Partners ,"Leighton Meester, Gillian Jacobs, Adam Brody, Gabourey Sidibe, Beth Dover, Abby Elliott, Kate McKinnon, Mark Feuerstein",R,2nd April 2015            ,"Paige, a type-A lawyer, and Sasha, a carefree musician, are best friends until a man enters the picture. Are the women growing up or growing apart?",Susanna Fogel,1hr 32m,,"Independent Comedies, Romantic Independent Films, Independent Films, Romantic Comedies, Comedies, Romantic Films",6.2/10,http://www.imdb.com/title/tt2870808/,https://art-s.nflximg.net/3fd22/1974cd9360e6d3f9831daec4e1f015f1d8e3fd22.jpg,3.5/5,2014
