,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
20,A Life Less Ordinary ,"Ian Holm, Holly Hunter, Delroy Lindo, Ian McNeice, Cameron Diaz, Ewan McGregor, Maury Chaykin, Dan Hedaya, Tony Shalhoub, Stanley Tucci, K.K. Dodds",R,3rd April 2016            ,"Determined to live ""a life less ordinary,"" Robert, a down-and-out janitor, kidnaps narcissistic heiress Celine in hopes of pulling in a big ransom.",Danny Boyle,1hr 43m,,"Dark Comedies, Romantic Comedies, Comedies",6.4/10,http://www.imdb.com/title/tt0119535/,https://art-s.nflximg.net/19371/ae0ed0d05b26090d1d326249cb9353daaa919371.jpg,3.1/5,1997
21,A Long Way Down ,"Pierce Brosnan, Toni Collette, Aaron Paul, Imogen Poots, Rosamund Pike, Sam Neill, Tuppence Middleton, Joe Cole",R,9th October 2014            ,"When a faded TV personality decides to jump off a London skyscraper on New Year's Eve, he meets three lost souls who had the exact same plan.",Pascal Chaumeil,1hr 35m,,"Dramas based on a book, British Films, Independent Comedies, Dark Comedies, Dramas, Dramas based on contemporary literature, Independent Films, Independent Dramas, Comedies",6.4/10,http://www.imdb.com/title/tt0458413/,https://art-s.nflximg.net/67a86/71901d45227a79eb35292d6b565f08b161e67a86.jpg,3.8/5,2014
22,A Love in Times of Selfies ,"Roberto Carnaghi, María Zamarbide, Luis Rubio, Martín Bossi, Jorge Crivelli, Manuel Wirzt",NR,1st April 2016            ,"Comedy teacher Lucas falls for student Guadalupe, a driven high-tech executive, but their clashing tempers and ideologies threaten to keep them apart.","Emilio Tamer, Federico Finkielstain",1hr 56m,,"Romantic Comedies, Comedies, International Comedies",,,https://art-s.nflximg.net/747fc/8125e5f5f23dc1ff9863fa85df941c2a5c2747fc.jpg,1.8/5,2014
23,A Magic Puppy ,"Eric Roberts, Kristine DeBell, Susan Olsen, Lucas Adams, Evan Crooks, Ryan Greco, Stephanie Shemanski",TV-G,Unknown Date            ,"Molly decides to plan a surprise for her best friend, Adam. She casts a magic spell, but it goes awry and turns his mother's boyfriend into a dog.",David DeCoteau,1hr 20m,,"Films for ages 5 to 7, Family Adventures, Animal Tales, Family Features, Films for ages 8 to 10, Children & Family Films, Family Comedies, Comedies",,,https://art-s.nflximg.net/6123b/370894f1971572120f499c3bfe6452a7ec66123b.jpg,3.3/5,2012
24,A Monster in Paris ,"Bob Balaban, Catherine O'Hara, François Cluzet, Vanessa Paradis, Ludivine Sagnier, Adam Goldberg, Danny Huston, Madeline Zima, Sean Lennon, Jay Harrington, Gad Elmaleh, Bruno Salomone, Julie Ferrier, Matthew Géczy, Mathieu Chedid, Philippe Peythieu, Sébastien Desjours",PG,Unknown Date            ,Emile and Raoul join forces with a singer and an eccentric scientist and his monkey to save a misunderstood monster from the city's police chief.,Bibo Bergeron,1hr 29m,,"Family Adventures, Family Features, Films for ages 8 to 10, Films for ages 11 to 12, Family Feature Animation, Family Comedies, Children & Family Films, Comedies, 20th Century Period Pieces",6.8/10,http://www.imdb.com/title/tt0961097/,https://art-s.nflximg.net/55dc4/be95035d5c53bdb7c94fd3f7e5cfecf0b3e55dc4.jpg,3.9/5,2011
25,A Night at the Roxbury ,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman",PG-13,1st June 2015            ,"After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch.",John Fortenberry,1hr 21m,,"Late Night Comedies, Cult Comedies, Cult Films, Comedies",6.2/10,http://www.imdb.com/title/tt0120770/,https://art-s.nflximg.net/f5002/d6d976be0e9b5a825dc243a39d823e80208f5002.jpg,3.5/5,1998
26,A Picture of You ,"Jodi Long, Andrew Pang, Teyonah Parris, Jo Mei, Lucas Dixon",NR,1st February 2016            ,Estranged siblings travel to rural Pennsylvania to close the home of their recently deceased college professor mother and discover a shocking secret.,J.P. Chan,1hr 22m,,"Dramas, Comedies, Crime Dramas",6.5/10,http://www.imdb.com/title/tt2351098/,https://art-s.nflximg.net/8075d/848987b85570426c18f62b0e6d26ebf1caa8075d.jpg,2.9/5,2014
27,A Pigeon Sat on a Branch Reflecting on Existence ,"Charlotta Larsson, Lotti Törnros, Holger Andersson, Nils Westblom, Viktor Gyllenberg, Jonas Gerholm, Roger Olsen Likvern, Ola Stensson, Oscar Salomonsson",PG-13,5th November 2015            ,"On an unsuccessful business trip selling gag gifts, a pair of salesmen are the center of absurdist stories and running jokes about human existence.",Roy Andersson,1hr 40m,,"Dramas, Comedies, International Comedies",7/10,http://www.imdb.com/title/tt1883180/,https://art-s.nflximg.net/4cb92/594203f480921173cd846cf41acd98163f94cb92.jpg,3.2/5,2014
28,A Pony Tale ,"Jenny Cipolla, Kristine DeBell, Jason Faunt, James Lastovic, Dillon Olney, Johnny Whitaker, Max Gray Wilbur",TV-G,Unknown Date            ,"While living on a ranch that's facing foreclosure, a melancholy 16-year-old girl changes her outlook when her horse suddenly begins talking.",David DeCoteau,1hr 28m,,"Animal Tales, Films for ages 11 to 12, Films for ages 8 to 10, Dramas, Children & Family Films, Family Comedies, Family Dramas, Comedies",http://www.imdb.com/title/tt1234858/,http://www.imdb.com/title/tt1234858/,https://art-s.nflximg.net/cb0a2/2952c97012d48dca04a46721d4427085f09cb0a2.jpg,3.2/5,2013
29,A Russell Peters Christmas ,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",NR,Unknown Date            ,"Inspired by the variety shows of the 1970s, ""A Russell Peters Christmas"" is a sweet, silly, sentimental and, most of all, funny Christmas special.",Henry Sarwer-Foner,44m,44min                ,"Pop, Canadian Films, Rock & Pop, Stand-up Comedy, TV Sketch Comedies, Comedies",3.9/10,http://www.imdb.com/title/tt2128408/,https://art-s.nflximg.net/1f400/9a9736ae91ffa1fc2fcd65e4a6e89a300a81f400.jpg,2.9/5,2011
30,A Short History of Decay ,"Bryan Greenberg, Linda Lavin, Harris Yulin, Kathleen Rose Perkins, Benjamin King, Emmanuelle Chriqui, Rebecca Dayan, Anthony Reynolds",NR,Unknown Date            ,"With his future as a writer in ruins and his girlfriend gone, Nathan Fisher travels to Florida to help take care of his ailing parents.",Michael Maren,1hr 33m,,"Independent Comedies, Dramas, Independent Films, Independent Dramas, Comedies",6.1/10,http://www.imdb.com/title/tt2265050/,https://art-s.nflximg.net/7b1f5/6e35f72576af32243b29873253470326e827b1f5.jpg,3.2/5,2013
31,A Stand Up Guy ,"Ethan Suplee, Luke Robertson, Jay R. Ferguson, Danny A. Abeckaser, Nick Cordero, Annie Heise, Michael Rapaport, Bob Saget, Ray Iannicelli, Moran Attias",NR,9th May 2016            ,"When his outrageous open-mic standup comedy routine goes viral, low-rent mobster-in-hiding Sammy gets a lot of attention he seriously doesn't want.",Mike Young,1hr 20m,,"Independent Comedies, Comedies, Independent Films",4.6/10,http://www.imdb.com/title/tt4060962/,https://art-s.nflximg.net/b8993/d3c3733ab83570bc85acc61c8149fe7d6beb8993.jpg,2.8/5,2016
